,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_test_error,std_test_error,delta
0,0.0016804218292236328,0.00012030483378322964,0.004474639892578125,3.927442267989871e-05,1,uniform,"{'n_neighbors': 1, 'weights': 'uniform'}",0.62109375,0.6171875,0.65234375,0.6015625,0.5529411764705883,0.6090257352941176,0.03252654116133442,4,-0.6090257352941176,0.03252654116133442,0.03252654116133442
1,0.0016577720642089843,5.409641378815361e-05,0.0015388965606689454,3.9349785702356657e-05,1,distance,"{'n_neighbors': 1, 'weights': 'distance'}",0.62109375,0.6171875,0.65234375,0.6015625,0.5529411764705883,0.6090257352941176,0.03252654116133442,4,-0.6090257352941176,0.03252654116133442,0.03252654116133442
2,0.0016422748565673828,1.8802989732850977e-05,0.004628133773803711,3.5559201923754914e-05,2,uniform,"{'n_neighbors': 2, 'weights': 'uniform'}",0.53125,0.5625,0.59765625,0.53515625,0.4980392156862745,0.5449203431372549,0.03337716619309175,8,-0.5449203431372549,0.03337716619309175,0.03337716619309175
3,0.0016213417053222655,9.213698251163054e-06,0.0015826702117919921,1.6239368329035408e-05,2,distance,"{'n_neighbors': 2, 'weights': 'distance'}",0.62109375,0.6171875,0.65234375,0.6015625,0.5529411764705883,0.6090257352941176,0.03252654116133442,4,-0.6090257352941176,0.03252654116133442,0.03252654116133442
4,0.001810312271118164,0.0003165943066489473,0.004921627044677734,0.0001650117291262677,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.5703125,0.50390625,0.5078125,0.515625,0.47058823529411764,0.5136488970588236,0.03224243221304769,12,-0.5136488970588236,0.03224243221304769,0.03224243221304769
5,0.0017023563385009765,0.00012156050365928909,0.001793813705444336,0.00013594730240330016,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.6171875,0.57421875,0.63671875,0.5703125,0.5568627450980392,0.5910600490196078,0.03049887344949864,7,-0.5910600490196078,0.03049887344949864,0.03049887344949864
6,0.001828908920288086,0.000354958650309628,0.005119895935058594,8.171987305277133e-05,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.52734375,0.5234375,0.53515625,0.52734375,0.5098039215686274,0.5246170343137255,0.008327840470921721,11,-0.5246170343137255,0.008327840470921721,0.008327840470921721
7,0.0017531871795654296,5.476171151307558e-05,0.002016592025756836,7.788159569441549e-05,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.609375,0.60546875,0.64453125,0.61328125,0.5725490196078431,0.6090410539215686,0.022900107965311108,3,-0.6090410539215686,0.022900107965311108,0.022900107965311108
8,0.0018291473388671875,0.00020970195543513708,0.005236005783081055,7.038617180894285e-05,15,uniform,"{'n_neighbors': 15, 'weights': 'uniform'}",0.51953125,0.5234375,0.5390625,0.5546875,0.5137254901960784,0.5300888480392156,0.014893507946753702,10,-0.5300888480392156,0.014893507946753702,0.014893507946753702
9,0.0016859054565429687,3.448900898345358e-05,0.0021121978759765627,4.610879712640388e-05,15,distance,"{'n_neighbors': 15, 'weights': 'distance'}",0.62109375,0.58984375,0.66015625,0.6328125,0.615686274509804,0.6239185049019608,0.022930831200411436,1,-0.6239185049019608,0.022930831200411436,0.022930831200411436
10,0.0016832828521728515,4.504417928839085e-05,0.005314159393310547,6.756807770072843e-05,20,uniform,"{'n_neighbors': 20, 'weights': 'uniform'}",0.58984375,0.5,0.5390625,0.54296875,0.5490196078431373,0.5441789215686275,0.028594153930953388,9,-0.5441789215686275,0.028594153930953388,0.028594153930953388
11,0.0018410682678222656,0.00014276682891444873,0.0023188114166259764,0.0001053929214307099,20,distance,"{'n_neighbors': 20, 'weights': 'distance'}",0.64453125,0.5859375,0.65625,0.6171875,0.611764705882353,0.6231341911764706,0.024910692831044745,2,-0.6231341911764706,0.024910692831044745,0.024910692831044745
