,final_train_scores,final_train_scores_std,final_val_scores,final_fit_times,final_fit_times_std,final_score_times,final_score_times_std
0,0.896875,0.012499999999999999,0.557239604496817,0.21181607246398926,0.007949482830790593,0.0011344432830810546,0.00012176850754630155
1,0.822568093385214,0.0046692607003890885,0.5901569242081228,0.3586531639099121,0.006039672156293198,0.0012853145599365234,2.102143520847046e-05
2,0.7584415584415585,0.00402387880125446,0.597676128557884,0.3265226364135742,0.027221293947411317,0.0012685298919677735,1.570930591652815e-05
3,0.745136186770428,0.006027989643902615,0.6380797585186045,0.32076549530029297,0.036553963014068575,0.0012573719024658204,3.2038844435083626e-05
4,0.7309486780715396,0.008346132419905894,0.6405681004624524,0.4107822895050049,0.05983574848633349,0.001192188262939453,0.00010964005445072793
5,0.7224383916990922,0.013775271644463544,0.6455467192972273,0.3327202320098877,0.033056213056099015,0.001186704635620117,0.00011100166835377623
6,0.7122222222222222,0.011155467020454333,0.6468024999516263,0.35993590354919436,0.015236193334780466,0.0012331485748291015,0.00010438055793506668
7,0.7159533073929962,0.014336290604622999,0.6698032158820456,0.4354891300201416,0.049062950567931335,0.0012498855590820312,1.7949989986726633e-05
8,0.7171996542783059,0.01198113981065755,0.6685725895396761,0.3902420997619629,0.032647012646150386,0.0012348651885986327,8.609474149098605e-05
9,0.7136858475894247,0.010179202595305489,0.674797314293454,0.37264137268066405,0.01949387028055747,0.001287841796875,6.171875587794195e-05
