,final_train_scores,final_train_scores_std,final_val_scores,final_fit_times,final_fit_times_std,final_score_times,final_score_times_std
0,0.8,0.021875,0.6162748398831293,0.002601909637451172,0.00012254236263914919,0.0017980575561523438,3.0617104601355425e-05
1,0.8070038910505837,0.0046692607003890885,0.6287165496023684,0.0033017635345458985,2.3776250215445874e-05,0.0024828433990478514,4.029694371611758e-05
2,0.8036363636363635,0.0045287261751071955,0.6423908206110562,0.004667234420776367,5.4161103145548904e-05,0.0031652450561523438,2.5858470657474252e-05
3,0.7817120622568093,0.0007782101167315149,0.6523441883864477,0.006480121612548828,3.106937147975839e-05,0.003822469711303711,1.211823262781194e-05
4,0.777293934681182,0.004957193608245462,0.6548286604361371,0.008831644058227539,6.760982575629208e-05,0.0045354366302490234,3.2443504060587446e-05
5,0.7735408560311283,0.006593133606816525,0.6710202975948608,0.011626100540161133,9.784619477903006e-05,0.005266523361206055,1.8417646197240845e-05
6,0.7735555555555556,0.007006170120193081,0.6703991795824383,0.014820098876953125,9.110185742504798e-05,0.0059149742126464845,2.647386847691958e-05
7,0.7682879377431906,0.005817088088609384,0.6766142296008204,0.01873292922973633,0.00022519765520559947,0.006608438491821289,7.854036349304268e-05
8,0.7636992221261883,0.007487090000936132,0.6828408893016775,0.02282552719116211,0.00023677600567905094,0.007345056533813477,0.00011212271918606339
9,0.7608087091757387,0.0050777069105177475,0.6847023083918655,0.02742476463317871,0.0002541489001180245,0.00802922248840332,0.00016707607854843436
