,final_train_scores,final_train_scores_std,final_val_scores,final_fit_times,final_fit_times_std,final_score_times,final_score_times_std
0,0.7529411764705882,0.023529411764705844,0.5668504901960784,0.0026514530181884766,0.000631722048375923,0.005102205276489258,0.0004750995543294738
1,0.6705882352941176,0.007843137254901978,0.5597763480392157,0.0023701667785644533,0.00015320351212107846,0.0052001953125,0.00022469897587008874
2,0.7137254901960784,0.005697907115739465,0.5714859068627451,0.0023964881896972657,0.00028219123110476667,0.0055277347564697266,0.00025521356407831114
3,0.7002444987775062,0.013266171116137418,0.5769791666666666,0.0026995182037353516,0.00039253881299003765,0.005699253082275391,0.00042609581477972576
4,0.7088062622309197,0.014769442085411527,0.5691789215686274,0.0028170108795166015,0.000419499006889226,0.0061948299407958984,0.00020449371538065666
5,0.7226753670473083,0.00939958257154189,0.5879656862745098,0.0030594825744628905,0.0007652158691013526,0.007139158248901367,0.000983845657706544
6,0.7307262569832401,0.005329269281658923,0.5918841911764706,0.003280973434448242,0.0006158165277215016,0.006543636322021484,0.00038502316658148696
7,0.7276283618581908,0.004791177980993993,0.5911029411764706,0.003405189514160156,0.0005149639002040515,0.006711149215698242,0.0002851138763566646
8,0.73,0.004433930011819812,0.5848314950980392,0.0035462379455566406,0.0009384610050703278,0.00692296028137207,0.0005072644026008626
9,0.7300097751710656,0.0014366508755326544,0.590297181372549,0.0033768653869628907,0.000525679297461095,0.007570505142211914,0.0005667750730347526
