,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_test_error,std_test_error,delta
0,0.0028818130493164064,0.0001827514350099726,0.0011194705963134765,0.00018598376707385948,0.1,1,"{'learning_rate': 0.1, 'n_estimators': 1}",0.6304347826086957,0.5993788819875776,0.6180124223602484,0.6105919003115264,0.6199376947040498,0.6156711363944195,0.010323629034080954,15,-0.6156711363944195,0.010323629034080954,0.010323629034080954
1,0.004290294647216797,1.7083419077526786e-05,0.0011163711547851562,4.139666121199967e-05,0.1,2,"{'learning_rate': 0.1, 'n_estimators': 2}",0.6304347826086957,0.5993788819875776,0.6149068322981367,0.6105919003115264,0.6199376947040498,0.6150500183819971,0.010257291894234329,34,-0.6150500183819971,0.010257291894234329,0.010257291894234329
2,0.008870077133178712,4.453781583681191e-05,0.001350259780883789,1.1402890424754886e-05,0.1,5,"{'learning_rate': 0.1, 'n_estimators': 5}",0.6304347826086957,0.5993788819875776,0.6180124223602484,0.6105919003115264,0.6199376947040498,0.6156711363944195,0.010323629034080954,15,-0.6156711363944195,0.010323629034080954,0.010323629034080954
3,0.01646595001220703,2.112092585089713e-05,0.0017651557922363282,2.2680412438396054e-05,0.1,10,"{'learning_rate': 0.1, 'n_estimators': 10}",0.6304347826086957,0.6024844720496895,0.6180124223602484,0.6105919003115264,0.6199376947040498,0.6162922544068421,0.00937452086373627,12,-0.6162922544068421,0.00937452086373627,0.00937452086373627
4,0.024773454666137694,0.0009957412777323862,0.002235746383666992,8.019369015882333e-05,0.1,15,"{'learning_rate': 0.1, 'n_estimators': 15}",0.6335403726708074,0.6180124223602484,0.6180124223602484,0.6105919003115264,0.6199376947040498,0.6200189624813761,0.007480067454670306,2,-0.6200189624813761,0.007480067454670306,0.007480067454670306
5,0.03261876106262207,0.0007259676998664296,0.002784538269042969,0.00010581352835387099,0.1,20,"{'learning_rate': 0.1, 'n_estimators': 20}",0.6273291925465838,0.6242236024844721,0.6180124223602484,0.6105919003115264,0.6199376947040498,0.6200189624813761,0.00572749107420411,2,-0.6200189624813761,0.00572749107420411,0.00572749107420411
6,0.03926420211791992,0.00017135546500250822,0.002947235107421875,1.3882923673571432e-05,0.1,25,"{'learning_rate': 0.1, 'n_estimators': 25}",0.6335403726708074,0.6211180124223602,0.6211180124223602,0.6105919003115264,0.6199376947040498,0.6212611985062209,0.007299379548360858,1,-0.6212611985062209,0.007299379548360858,0.007299379548360858
7,0.046691608428955075,3.566614444514186e-05,0.003399372100830078,2.308207088409923e-05,0.1,30,"{'learning_rate': 0.1, 'n_estimators': 30}",0.6335403726708074,0.6024844720496895,0.6118012422360248,0.6105919003115264,0.6199376947040498,0.6156711363944195,0.010508814980142795,15,-0.6156711363944195,0.010508814980142795,0.010508814980142795
8,0.06184344291687012,0.0002082734643120753,0.004159212112426758,5.445179705496261e-05,0.1,40,"{'learning_rate': 0.1, 'n_estimators': 40}",0.6304347826086957,0.6118012422360248,0.6180124223602484,0.6105919003115264,0.6199376947040498,0.6181556084441091,0.0070931248752305436,5,-0.6181556084441091,0.0070931248752305436,0.0070931248752305436
9,0.07709379196166992,0.00017888877573998653,0.004916000366210938,6.200155714414113e-05,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.6459627329192547,0.6118012422360248,0.6055900621118012,0.6137071651090342,0.6137071651090342,0.6181536734970299,0.014220297982832156,6,-0.6181536734970299,0.014220297982832156,0.014220297982832156
10,0.0026783466339111326,6.456523031459128e-06,0.0009852886199951173,2.3833082491471065e-05,0.2,1,"{'learning_rate': 0.2, 'n_estimators': 1}",0.6304347826086957,0.5993788819875776,0.6180124223602484,0.6105919003115264,0.6199376947040498,0.6156711363944195,0.010323629034080954,15,-0.6156711363944195,0.010323629034080954,0.010323629034080954
11,0.004204607009887696,6.220120948455936e-06,0.001094818115234375,2.2835969973466263e-05,0.2,2,"{'learning_rate': 0.2, 'n_estimators': 2}",0.6304347826086957,0.5993788819875776,0.6180124223602484,0.6105919003115264,0.6199376947040498,0.6156711363944195,0.010323629034080954,15,-0.6156711363944195,0.010323629034080954,0.010323629034080954
12,0.008780574798583985,2.4315235415434878e-05,0.001336383819580078,3.2335536820543436e-05,0.2,5,"{'learning_rate': 0.2, 'n_estimators': 5}",0.6242236024844721,0.6024844720496895,0.6180124223602484,0.6105919003115264,0.6199376947040498,0.6150500183819971,0.007675775319853002,34,-0.6150500183819971,0.007675775319853002,0.007675775319853002
13,0.016498661041259764,6.200764443921951e-05,0.0017428874969482421,1.2493133544921873e-05,0.2,10,"{'learning_rate': 0.2, 'n_estimators': 10}",0.6273291925465838,0.6024844720496895,0.5993788819875776,0.6105919003115264,0.6199376947040498,0.6119444283198854,0.010486146452115768,51,-0.6119444283198854,0.010486146452115768,0.010486146452115768
14,0.024059486389160157,4.215477811596277e-05,0.0021484375,1.2583803976766507e-05,0.2,15,"{'learning_rate': 0.2, 'n_estimators': 15}",0.6273291925465838,0.6055900621118012,0.6211180124223602,0.6105919003115264,0.6199376947040498,0.6169133724192642,0.007790933162215758,9,-0.6169133724192642,0.007790933162215758,0.007790933162215758
15,0.031595611572265626,8.312088241777004e-05,0.002566957473754883,3.787017775124865e-05,0.2,20,"{'learning_rate': 0.2, 'n_estimators': 20}",0.6304347826086957,0.6086956521739131,0.6149068322981367,0.6105919003115264,0.6105919003115264,0.6150442135407597,0.007960388275100164,37,-0.6150442135407597,0.007960388275100164,0.007960388275100164
