,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_test_error,std_test_error,delta
0,0.001736593246459961,3.169134513944332e-05,0.005077075958251953,4.405608925713992e-05,1,uniform,"{'n_neighbors': 1, 'weights': 'uniform'}",0.5062111801242236,0.5714285714285714,0.546583850931677,0.5233644859813084,0.5046728971962616,0.5304521971324084,0.0254626328760757,10,-0.5304521971324084,0.0254626328760757,0.0254626328760757
1,0.0017264366149902343,3.2839301152837024e-05,0.0014471054077148438,1.4766254088394992e-05,1,distance,"{'n_neighbors': 1, 'weights': 'distance'}",0.5062111801242236,0.5714285714285714,0.546583850931677,0.5233644859813084,0.5046728971962616,0.5304521971324084,0.0254626328760757,10,-0.5304521971324084,0.0254626328760757,0.0254626328760757
2,0.0017232894897460938,2.3939884843545317e-05,0.0052833080291748045,5.5930457907074246e-05,2,uniform,"{'n_neighbors': 2, 'weights': 'uniform'}",0.562111801242236,0.5683229813664596,0.5807453416149069,0.5794392523364486,0.5358255451713395,0.5652889843462782,0.016288173271545973,6,-0.5652889843462782,0.016288173271545973,0.016288173271545973
3,0.0017329692840576173,2.2923224170474708e-05,0.0015160560607910157,2.839500216708424e-05,2,distance,"{'n_neighbors': 2, 'weights': 'distance'}",0.5062111801242236,0.5714285714285714,0.546583850931677,0.5233644859813084,0.5046728971962616,0.5304521971324084,0.0254626328760757,10,-0.5304521971324084,0.0254626328760757,0.0254626328760757
4,0.0017310142517089843,3.437251805426982e-05,0.005367946624755859,2.4498202205048205e-05,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.5527950310559007,0.5652173913043478,0.577639751552795,0.5451713395638629,0.5046728971962616,0.5490992821346335,0.024807832672108038,8,-0.5490992821346335,0.024807832672108038,0.024807832672108038
5,0.0017587661743164063,2.7945830780134032e-05,0.0015775203704833985,3.608986377727121e-05,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.5527950310559007,0.5652173913043478,0.5652173913043478,0.5514018691588785,0.4953271028037383,0.5459917571254426,0.02600658018689555,9,-0.5459917571254426,0.02600658018689555,0.02600658018689555
6,0.001728057861328125,1.722629919109041e-05,0.005491447448730469,4.584744022243249e-05,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.5745341614906833,0.5869565217391305,0.5683229813664596,0.5763239875389408,0.5451713395638629,0.5702617983398154,0.013906884244880086,3,-0.5702617983398154,0.013906884244880086,0.013906884244880086
7,0.0017517566680908202,3.0024312083422736e-05,0.0017128467559814453,3.34267269328393e-05,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.593167701863354,0.5900621118012422,0.5745341614906833,0.5794392523364486,0.5327102803738317,0.5739827015731119,0.021726032658290106,2,-0.5739827015731119,0.021726032658290106,0.021726032658290106
8,0.001741647720336914,4.3950575192231306e-05,0.00561375617980957,7.283621645689769e-05,15,uniform,"{'n_neighbors': 15, 'weights': 'uniform'}",0.5900621118012422,0.5714285714285714,0.5590062111801242,0.5856697819314641,0.5420560747663551,0.5696445502215515,0.0176134371397878,4,-0.5696445502215515,0.0176134371397878,0.0176134371397878
9,0.0017494678497314454,2.5448276903248897e-05,0.0018127918243408202,2.231862794201326e-05,15,distance,"{'n_neighbors': 15, 'weights': 'distance'}",0.5683229813664596,0.593167701863354,0.5527950310559007,0.5763239875389408,0.5233644859813084,0.5627948375611928,0.023625655185946413,7,-0.5627948375611928,0.023625655185946413,0.023625655185946413
10,0.001716279983520508,2.9447387464058347e-05,0.005688190460205078,2.679086563124922e-05,20,uniform,"{'n_neighbors': 20, 'weights': 'uniform'}",0.5900621118012422,0.5807453416149069,0.5683229813664596,0.573208722741433,0.5700934579439252,0.5764865230935934,0.008008655500693043,1,-0.5764865230935934,0.008008655500693043,0.008008655500693043
11,0.0017496585845947266,3.9223037463166704e-05,0.0018932819366455078,2.4372396827055065e-05,20,distance,"{'n_neighbors': 20, 'weights': 'distance'}",0.5745341614906833,0.5962732919254659,0.5683229813664596,0.573208722741433,0.5295950155763239,0.5683868346200731,0.021649499004436603,5,-0.5683868346200731,0.021649499004436603,0.021649499004436603
