,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_test_error,std_test_error,delta
0,0.0024013519287109375,0.00013759474757604596,0.0009839534759521484,2.0054389971375065e-05,0.1,1,"{'learning_rate': 0.1, 'n_estimators': 1}",0.546875,0.5859375,0.5703125,0.55078125,0.5254901960784314,0.5558792892156863,0.02069965129623113,84,-0.5558792892156863,0.02069965129623113,0.02069965129623113
1,0.003375387191772461,3.4754723685818716e-05,0.0010443687438964843,8.336608281308311e-06,0.1,2,"{'learning_rate': 0.1, 'n_estimators': 2}",0.546875,0.6015625,0.5859375,0.5703125,0.5254901960784314,0.5660355392156863,0.027157306539252666,79,-0.5660355392156863,0.027157306539252666,0.027157306539252666
2,0.006577539443969727,7.755606494772192e-06,0.0012874603271484375,5.057621821307284e-06,0.1,5,"{'learning_rate': 0.1, 'n_estimators': 5}",0.546875,0.5859375,0.59765625,0.55078125,0.5333333333333333,0.5629166666666666,0.024562469076881865,81,-0.5629166666666666,0.024562469076881865,0.024562469076881865
3,0.012008047103881836,4.00039378677285e-05,0.0017032623291015625,1.0612171382287078e-05,0.1,10,"{'learning_rate': 0.1, 'n_estimators': 10}",0.5625,0.6015625,0.609375,0.5546875,0.5372549019607843,0.5730759803921568,0.02779294103269095,76,-0.5730759803921568,0.02779294103269095,0.02779294103269095
4,0.017492389678955077,7.327958607527295e-05,0.0021060943603515626,1.218279279895723e-05,0.1,15,"{'learning_rate': 0.1, 'n_estimators': 15}",0.59375,0.59375,0.63671875,0.57421875,0.5490196078431373,0.5894914215686274,0.02876773795191748,72,-0.5894914215686274,0.02876773795191748,0.02876773795191748
5,0.022830677032470704,5.1367204021588996e-05,0.0025046825408935546,1.7697404978584698e-05,0.1,20,"{'learning_rate': 0.1, 'n_estimators': 20}",0.609375,0.60546875,0.640625,0.578125,0.5568627450980392,0.5980912990196078,0.028598290735204746,66,-0.5980912990196078,0.028598290735204746,0.028598290735204746
6,0.028177785873413085,8.480430553405774e-05,0.002898693084716797,1.8605816855551406e-05,0.1,25,"{'learning_rate': 0.1, 'n_estimators': 25}",0.60546875,0.59765625,0.6328125,0.578125,0.5568627450980392,0.5941850490196078,0.02562159502384627,68,-0.5941850490196078,0.02562159502384627,0.02562159502384627
7,0.034149456024169925,0.00012065152348797073,0.0034260272979736326,5.531442574877203e-05,0.1,30,"{'learning_rate': 0.1, 'n_estimators': 30}",0.609375,0.609375,0.63671875,0.57421875,0.5411764705882353,0.594172794117647,0.033103313047503594,69,-0.594172794117647,0.033103313047503594,0.033103313047503594
8,0.04497365951538086,0.00013229850176798622,0.004190254211425781,4.320691981391557e-05,0.1,40,"{'learning_rate': 0.1, 'n_estimators': 40}",0.59765625,0.62109375,0.66015625,0.609375,0.5764705882352941,0.6129503676470588,0.02782868160445494,40,-0.6129503676470588,0.02782868160445494,0.02782868160445494
9,0.055745410919189456,0.00022446571223111667,0.005017757415771484,3.870525720613187e-05,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.61328125,0.609375,0.65234375,0.625,0.5803921568627451,0.616078431372549,0.023328258083754768,28,-0.616078431372549,0.023328258083754768,0.023328258083754768
10,0.0022632122039794923,1.7622729877657802e-05,0.0009512424468994141,7.622536915146002e-06,0.2,1,"{'learning_rate': 0.2, 'n_estimators': 1}",0.546875,0.5859375,0.5703125,0.55078125,0.5254901960784314,0.5558792892156863,0.02069965129623113,84,-0.5558792892156863,0.02069965129623113,0.02069965129623113
11,0.0033658504486083984,2.743310105333584e-05,0.0010580062866210938,6.2674617006865525e-06,0.2,2,"{'learning_rate': 0.2, 'n_estimators': 2}",0.546875,0.5859375,0.5859375,0.55078125,0.5254901960784314,0.5590042892156862,0.02361663886304577,82,-0.5590042892156862,0.02361663886304577,0.02361663886304577
12,0.0066678524017333984,2.278712931919484e-05,0.0013743877410888673,0.00012144946003214025,0.2,5,"{'learning_rate': 0.2, 'n_estimators': 5}",0.5703125,0.58984375,0.58984375,0.5546875,0.5215686274509804,0.565251225490196,0.02551455541796529,80,-0.565251225490196,0.02551455541796529,0.02551455541796529
13,0.012293863296508788,3.23278010292495e-05,0.0017914295196533204,1.6772471678479127e-05,0.2,10,"{'learning_rate': 0.2, 'n_estimators': 10}",0.58203125,0.61328125,0.62109375,0.57421875,0.5333333333333333,0.5847916666666666,0.03129493297422302,74,-0.5847916666666666,0.03129493297422302,0.03129493297422302
14,0.017796993255615234,7.44794608268175e-05,0.0021951675415039064,2.1778672639111867e-05,0.2,15,"{'learning_rate': 0.2, 'n_estimators': 15}",0.609375,0.60546875,0.6328125,0.58984375,0.5647058823529412,0.6004411764705881,0.022549097449647188,62,-0.6004411764705881,0.022549097449647188,0.022549097449647188
15,0.022970867156982423,8.40072050242508e-05,0.0025547027587890627,1.706477544789749e-05,0.2,20,"{'learning_rate': 0.2, 'n_estimators': 20}",0.609375,0.6171875,0.63671875,0.6015625,0.596078431372549,0.6121844362745098,0.014192146088061216,42,-0.6121844362745098,0.014192146088061216,0.014192146088061216
16,0.028744077682495116,0.00015389394603446151,0.003060770034790039,1.7753077098882933e-05,0.2,25,"{'learning_rate': 0.2, 'n_estimators': 25}",0.61328125,0.62109375,0.64453125,0.6171875,0.5725490196078431,0.6137285539215686,0.023285062310593015,38,-0.6137285539215686,0.023285062310593015,0.023285062310593015
