,final_train_scores,final_train_scores_std,final_val_scores,final_fit_times,final_fit_times_std,final_score_times,final_score_times_std
0,0.972549019607843,0.0039215686274509665,0.5121446078431372,0.0023239612579345702,4.548776567739377e-05,0.0008823394775390625,2.0544654990344556e-05
1,0.8362745098039216,0.01568627450980391,0.5660814950980393,0.0027460098266601563,7.607243089953118e-05,0.0008886337280273437,1.551985919214583e-05
2,0.7372549019607844,0.035172873325682884,0.5699846813725491,0.00299983024597168,3.4595316306944765e-05,0.00087127685546875,3.1651357222129993e-06
3,0.6767726161369192,0.04562113951957203,0.5793780637254902,0.0034260272979736326,7.280218184664104e-05,0.0008831977844238281,9.76014728698786e-06
4,0.6571428571428571,0.032497109596316354,0.5825275735294118,0.0037731647491455076,4.784637364954747e-05,0.0008801937103271485,9.479829717995099e-06
5,0.6313213703099512,0.022627785819771214,0.564485294117647,0.004187726974487304,9.091292774748669e-05,0.0008819103240966797,4.987452264783051e-06
6,0.6175977653631286,0.022178137699753287,0.560579044117647,0.004611349105834961,0.00017624475471839378,0.0008886337280273437,1.6398900600153912e-05
7,0.601955990220049,0.01358234172355124,0.5261825980392156,0.0050204753875732425,6.789709060064398e-05,0.0008858203887939453,3.570233640162446e-06
8,0.5952173913043479,0.006963311903498672,0.5559099264705882,0.00548095703125,0.00010555944827705272,0.0008832931518554688,1.0757302560590108e-05
9,0.6011730205278593,0.010139825986228682,0.5567156862745098,0.00593862533569336,4.419964096945558e-05,0.0008868217468261719,1.028863879914885e-05
