,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_test_error,std_test_error,delta
0,0.0015957355499267578,8.27332394714508e-05,0.0007919788360595704,1.2733784312041196e-05,0.0,1,"{'ccp_alpha': 0.0, 'max_depth': 1}",0.54296875,0.546875,0.58984375,0.546875,0.5725490196078431,0.5598223039215686,0.01834428605458158,66,-0.5598223039215686,0.01834428605458158,0.01834428605458158
1,0.00198979377746582,1.487349803461641e-05,0.0008009910583496094,7.6213436563855365e-06,0.0,2,"{'ccp_alpha': 0.0, 'max_depth': 2}",0.54296875,0.546875,0.56640625,0.546875,0.5686274509803921,0.5543504901960784,0.010867224769195117,192,-0.5543504901960784,0.010867224769195117,0.010867224769195117
2,0.0034009456634521485,2.0998492180155272e-05,0.0008216381072998046,1.5133402157262622e-05,0.0,5,"{'ccp_alpha': 0.0, 'max_depth': 5}",0.5546875,0.5859375,0.6328125,0.5703125,0.6313725490196078,0.5950245098039215,0.03184161959929593,25,-0.5950245098039215,0.03184161959929593,0.03184161959929593
3,0.005166387557983399,7.28446758045978e-05,0.0008442401885986328,1.3792880563658639e-05,0.0,10,"{'ccp_alpha': 0.0, 'max_depth': 10}",0.59375,0.61328125,0.62109375,0.62109375,0.5843137254901961,0.6067064950980392,0.015010133278450945,23,-0.6067064950980392,0.015010133278450945,0.015010133278450945
4,0.005537700653076172,6.959869162986927e-05,0.0008614063262939453,1.5610864977318078e-05,0.0,15,"{'ccp_alpha': 0.0, 'max_depth': 15}",0.6640625,0.65625,0.64453125,0.6328125,0.6431372549019608,0.6481587009803922,0.010883741534464302,1,-0.6481587009803922,0.010883741534464302,0.010883741534464302
5,0.005532217025756836,9.721251439650884e-05,0.0008549690246582031,1.473033259894278e-05,0.0,20,"{'ccp_alpha': 0.0, 'max_depth': 20}",0.65234375,0.65625,0.640625,0.6328125,0.6470588235294118,0.6458180147058823,0.00835538101276729,2,-0.6458180147058823,0.00835538101276729,0.00835538101276729
6,0.00553426742553711,9.196835295199917e-05,0.0008566379547119141,1.5223731059739805e-05,0.0,25,"{'ccp_alpha': 0.0, 'max_depth': 25}",0.65234375,0.65625,0.640625,0.6328125,0.6470588235294118,0.6458180147058823,0.00835538101276729,2,-0.6458180147058823,0.00835538101276729,0.00835538101276729
7,0.005561208724975586,9.825641271239096e-05,0.0008716106414794922,4.3037928240218754e-05,0.0,30,"{'ccp_alpha': 0.0, 'max_depth': 30}",0.65234375,0.65625,0.640625,0.6328125,0.6470588235294118,0.6458180147058823,0.00835538101276729,2,-0.6458180147058823,0.00835538101276729,0.00835538101276729
8,0.005552244186401367,0.00010000645139370043,0.000853729248046875,1.2297777298532908e-05,0.0,40,"{'ccp_alpha': 0.0, 'max_depth': 40}",0.65234375,0.65625,0.640625,0.6328125,0.6470588235294118,0.6458180147058823,0.00835538101276729,2,-0.6458180147058823,0.00835538101276729,0.00835538101276729
9,0.005560874938964844,0.00011544945492456701,0.0008569717407226563,1.2261856165507392e-05,0.0,50,"{'ccp_alpha': 0.0, 'max_depth': 50}",0.65234375,0.65625,0.640625,0.6328125,0.6470588235294118,0.6458180147058823,0.00835538101276729,2,-0.6458180147058823,0.00835538101276729,0.00835538101276729
10,0.005565214157104492,0.00010871922760620877,0.0008629322052001953,9.048102871878178e-06,0.0,75,"{'ccp_alpha': 0.0, 'max_depth': 75}",0.65234375,0.65625,0.640625,0.6328125,0.6470588235294118,0.6458180147058823,0.00835538101276729,2,-0.6458180147058823,0.00835538101276729,0.00835538101276729
11,0.005574464797973633,0.00010420686711244459,0.0008607864379882813,5.148074942117988e-06,0.0,100,"{'ccp_alpha': 0.0, 'max_depth': 100}",0.65234375,0.65625,0.640625,0.6328125,0.6470588235294118,0.6458180147058823,0.00835538101276729,2,-0.6458180147058823,0.00835538101276729,0.00835538101276729
12,0.0055692195892333984,0.00010372737245640048,0.0008533477783203125,9.003766447577922e-06,0.0,150,"{'ccp_alpha': 0.0, 'max_depth': 150}",0.65234375,0.65625,0.640625,0.6328125,0.6470588235294118,0.6458180147058823,0.00835538101276729,2,-0.6458180147058823,0.00835538101276729,0.00835538101276729
13,0.005562877655029297,0.00011239352240449779,0.000855112075805664,7.870846943707074e-06,0.0,200,"{'ccp_alpha': 0.0, 'max_depth': 200}",0.65234375,0.65625,0.640625,0.6328125,0.6470588235294118,0.6458180147058823,0.00835538101276729,2,-0.6458180147058823,0.00835538101276729,0.00835538101276729
14,0.005564832687377929,0.00010664413739010909,0.0008578300476074219,1.3977918275207123e-05,0.0,500,"{'ccp_alpha': 0.0, 'max_depth': 500}",0.65234375,0.65625,0.640625,0.6328125,0.6470588235294118,0.6458180147058823,0.00835538101276729,2,-0.6458180147058823,0.00835538101276729,0.00835538101276729
15,0.0016502857208251954,1.5200114689201717e-05,0.0008196830749511719,1.2779769601634983e-05,0.005,1,"{'ccp_alpha': 0.005, 'max_depth': 1}",0.54296875,0.546875,0.58984375,0.546875,0.5725490196078431,0.5598223039215686,0.01834428605458158,66,-0.5598223039215686,0.01834428605458158,0.01834428605458158
16,0.0020537376403808594,1.7562243328764817e-05,0.0008283138275146484,6.103515625e-06,0.005,2,"{'ccp_alpha': 0.005, 'max_depth': 2}",0.54296875,0.546875,0.56640625,0.546875,0.5686274509803921,0.5543504901960784,0.010867224769195117,192,-0.5543504901960784,0.010867224769195117,0.010867224769195117
17,0.0034923553466796875,4.32699178768547e-05,0.0008536338806152344,1.960641675893009e-05,0.005,5,"{'ccp_alpha': 0.005, 'max_depth': 5}",0.5625,0.5859375,0.6328125,0.5703125,0.6196078431372549,0.594234068627451,0.027496361243919056,26,-0.594234068627451,0.027496361243919056,0.027496361243919056
18,0.005280876159667968,6.783544472306308e-05,0.0008586883544921875,1.3321263406164781e-05,0.005,10,"{'ccp_alpha': 0.005, 'max_depth': 10}",0.62890625,0.60546875,0.58984375,0.6015625,0.5882352941176471,0.6028033088235294,0.014630002998190943,24,-0.6028033088235294,0.014630002998190943,0.014630002998190943
19,0.005668926239013672,0.00010898920380658215,0.0008680343627929688,1.1537488658780374e-05,0.005,15,"{'ccp_alpha': 0.005, 'max_depth': 15}",0.64453125,0.6328125,0.59765625,0.6015625,0.6,0.6153125,0.01946927667826928,12,-0.6153125,0.01946927667826928,0.01946927667826928
20,0.005686378479003907,0.00011329911771653948,0.0008517742156982422,7.450876230096667e-06,0.005,20,"{'ccp_alpha': 0.005, 'max_depth': 20}",0.640625,0.6328125,0.5859375,0.6015625,0.6039215686274509,0.6129718137254903,0.020500170914437416,13,-0.6129718137254903,0.020500170914437416,0.020500170914437416
21,0.0056513786315917965,0.00010544212002218805,0.0008495807647705078,4.295770885297855e-06,0.005,25,"{'ccp_alpha': 0.005, 'max_depth': 25}",0.640625,0.6328125,0.5859375,0.6015625,0.6039215686274509,0.6129718137254903,0.020500170914437416,13,-0.6129718137254903,0.020500170914437416,0.020500170914437416
22,0.005646800994873047,0.00011133678965537166,0.0008448600769042969,3.928050103496355e-06,0.005,30,"{'ccp_alpha': 0.005, 'max_depth': 30}",0.640625,0.6328125,0.5859375,0.6015625,0.6039215686274509,0.6129718137254903,0.020500170914437416,13,-0.6129718137254903,0.020500170914437416,0.020500170914437416
23,0.005663633346557617,8.471908234734457e-05,0.0008573055267333985,1.9391742556950235e-05,0.005,40,"{'ccp_alpha': 0.005, 'max_depth': 40}",0.640625,0.6328125,0.5859375,0.6015625,0.6039215686274509,0.6129718137254903,0.020500170914437416,13,-0.6129718137254903,0.020500170914437416,0.020500170914437416
