,final_train_scores,final_train_scores_std,final_val_scores,final_fit_times,final_fit_times_std,final_score_times,final_score_times_std
0,0.7215686274509805,0.03137254901960782,0.5504503676470588,0.0024105072021484374,4.376305345889858e-05,0.0014777660369873046,2.574761703671439e-05
1,0.7617647058823529,0.015686274509803953,0.5887530637254902,0.0029405593872070313,4.141862562790591e-05,0.0019258022308349609,2.345466931738502e-05
2,0.7601307189542483,0.012673672829846586,0.6114123774509804,0.0038890838623046875,7.892425649299845e-05,0.002438259124755859,2.9935121299843427e-05
3,0.7462102689486553,0.011405284879892993,0.6192401960784314,0.005122232437133789,4.506411365821701e-05,0.002948093414306641,5.402217779760448e-05
4,0.7397260273972602,0.01665130910855782,0.6215870098039216,0.006738710403442383,0.00015109241304911265,0.0034572601318359373,6.227964263678437e-05
5,0.7187601957585644,0.01636533272950662,0.6137469362745098,0.008572769165039063,7.201510437492748e-05,0.003969526290893555,3.166593676373999e-05
6,0.7189944134078212,0.00787095128693039,0.6247089460784314,0.010722494125366211,7.817026429843518e-05,0.0044078826904296875,4.1597859106276477e-05
7,0.7141809290953546,0.012713936430317834,0.6254871323529412,0.013113641738891601,9.381407242327471e-05,0.00482645034790039,6.250034709131824e-05
8,0.7058695652173913,0.006791521457310154,0.6317401960784313,0.015802860260009766,0.0002827369731285676,0.00530695915222168,4.7338667814308064e-05
9,0.7073313782991203,0.005007330781961168,0.6419148284313725,0.01893625259399414,0.00020756040680698548,0.005771446228027344,6.68960897627846e-05
